,Unnamed: 0,id,date,timezone,place,tweet,language,hashtags,user_id_str,username,day,hour,retweet,nlikes,nreplies,nretweets,geo,retweet_id,text,retweetcount,likecount,replycount,created_at,unique,text_lem,hashtagsLower,hashtagsList,hashtagsCount,textCount,subjectivity,polarity,sentiment,hype_loop
521,931,1404181560945901577,2021-06-13,-700,,"Make sure you tune into our @iHeartRadio Album Release Party tomorrow night! The show will kick off at 8pm ET and replay to align with the 8pm local time radio broadcast. We're performing ""Lost,"" ""Beautiful Mistakes,"" and more! #JORDI  https://t.co/CnwuXO8V7A  https://t.co/JIfOyfSMUg",en,['jordi'],24886570,maroon5,7,13,False,474,10,55,,,make sure tune album release party tomorrow night the show will kick 8pm et replay align 8pm local time radio broadcast perform lose beautiful mistake jordi,55,474,10,2021-06-13 13:59:07,"maroon5Make sure you tune into our @iHeartRadio Album Release Party tomorrow night! The show will kick off at 8pm ET and replay to align with the 8pm local time radio broadcast. We're performing ""Lost,"" ""Beautiful Mistakes,"" and more! #JORDI  https://t.co/CnwuXO8V7A  https://t.co/JIfOyfSMUg","[('make', 'v'), ('sure', 'a'), ('tune', 'n'), ('album', 'n'), ('release', 'n'), ('party', 'n'), ('tomorrow', 'n'), ('night', 'n'), ('the', 'n'), ('show', 'n'), ('will', 'n'), ('kick', 'v'), ('8pm', 'n'), ('et', 'a'), ('replay', 'n'), ('align', 'n'), ('8pm', 'n'), ('local', 'a'), ('time', 'n'), ('radio', 'n'), ('broadcast', 'n'), ('performing', 'v'), ('lost', 'v'), ('beautiful', 'a'), ('mistakes', 'n'), ('jordi', 'n')]",['jordi'],['jordi'],9,156,0.6296296296296297,0.45,Positive,POST
522,932,1404178017535119365,2021-06-13,-700,,#Maroon5 - #M5Lost #Official #MusicVideo)  https://t.co/ivegUVMigc @YouTube @maroon5 @adamlevine #AmazingLyrics #Mystical #Mysterious #LoveIt #WaitingForTheCityToArrive #Jordi #M5 #Maroon5 @Sculz_222,und,"['maroon5', 'm5lost', 'official', 'musicvideo', 'amazinglyrics', 'mystical', 'mysterious', 'loveit', 'waitingforthecitytoarrive', 'jordi', 'm5', 'maroon5']",1108624052334268416,Scultra_Sculz,7,13,False,0,0,0,,,maroon5 m5lost official musicvideo amazinglyrics mystical mysterious loveit waitingforthecitytoarrive jordi m5 maroon5,0,0,0,2021-06-13 13:45:02,Scultra_Sculz#Maroon5 - #M5Lost #Official #MusicVideo)  https://t.co/ivegUVMigc @YouTube @maroon5 @adamlevine #AmazingLyrics #Mystical #Mysterious #LoveIt #WaitingForTheCityToArrive #Jordi #M5 #Maroon5 @Sculz_222,"[('maroon5', 'n'), ('m5lost', 'r'), ('official', 'a'), ('musicvideo', 'n'), ('amazinglyrics', 'n'), ('mystical', 'a'), ('mysterious', 'a'), ('loveit', 'n'), ('waitingforthecitytoarrive', 'a'), ('jordi', 'n'), ('m5', 'n'), ('maroon5', 'n')]","['maroon5', 'm5lost', 'official', 'musicvideo', 'amazinglyrics', 'mystical', 'mysterious', 'loveit', 'waitingforthecitytoarrive', 'jordi', 'm5', 'maroon5']","['maroon5',",11,118,1.0,0.0,Neutral,POST
523,933,1404177238233423876,2021-06-13,-700,,#JORDI  álbum insano,es,['jordi'],1094092846137790465,ooh_thomio,7,13,False,1,0,0,,,jordi álbum insano,0,1,0,2021-06-13 13:41:56,ooh_thomio#JORDI  álbum insano,"[('jordi', 'n'), ('álbum', 'n'), ('insano', 'n')]",['jordi'],['jordi'],9,18,0.0,0.0,Neutral,POST
524,934,1404177163377688576,2021-06-13,-700,,Stream Now #Jordi #m5 #maroon5  https://t.co/GarNEkI4qK,en,"['jordi', 'm5', 'maroon5']",1172376841140629504,timberlevinera,7,13,False,1,0,0,,,stream jordi m5 maroon5,0,1,0,2021-06-13 13:41:38,timberlevineraStream Now #Jordi #m5 #maroon5  https://t.co/GarNEkI4qK,"[('stream', 'n'), ('jordi', 'n'), ('m5', 'n'), ('maroon5', 'n')]","['jordi', 'm5', 'maroon5']","['jordi',",9,23,0.0,0.0,Neutral,POST
525,935,1404176713727287304,2021-06-13,-700,,#JORDI  https://t.co/UR8PiErcTY,und,['jordi'],1172376841140629504,timberlevinera,7,13,False,14,2,0,,,jordi,0,14,2,2021-06-13 13:39:51,timberlevinera#JORDI  https://t.co/UR8PiErcTY,"[('jordi', 'n')]",['jordi'],['jordi'],9,5,0.0,0.0,Neutral,POST
526,936,1404167679842435073,2021-06-13,-700,,Maroon 5's #JORDI: Auto-Tuned vocals and a long parade of big name guest vocalists make this sound like a band without clear identity ⭐⭐  https://t.co/Ga25r31CbX,en,['jordi'],1168472395,EveningStandard,7,13,False,0,0,0,,,maroon 5 jordi autotuned vocal long parade big name guest vocalist make sound like band without clear identity,0,0,0,2021-06-13 13:03:57,EveningStandardMaroon 5's #JORDI: Auto-Tuned vocals and a long parade of big name guest vocalists make this sound like a band without clear identity ⭐⭐  https://t.co/Ga25r31CbX,"[('maroon', 'n'), ('5s', 'n'), ('jordi', 'n'), ('autotuned', 'v'), ('vocals', 'n'), ('long', 'r'), ('parade', 'v'), ('big', 'a'), ('name', 'n'), ('guest', 'a'), ('vocalists', 'n'), ('make', 'v'), ('sound', 'n'), ('like', 'n'), ('band', 'n'), ('without', 'n'), ('clear', 'a'), ('identity', 'n')]",['jordi'],['jordi'],9,110,0.30333333333333334,0.040000000000000015,Positive,POST
527,937,1404163603125751818,2021-06-13,-700,,I was lost 'til you loved me Now I'm found 🖤 so obsessed with this song!!!!!😍😍😍 #Maroon5 #lost #JORDI  https://t.co/nHVMr9CQj3,en,"['maroon5', 'lost', 'jordi']",793458932576583682,ban95_ban,7,12,False,8,0,0,,,i lose til love im find obsess song maroon5 lose jordi,0,8,0,2021-06-13 12:47:45,ban95_banI was lost 'til you loved me Now I'm found 🖤 so obsessed with this song!!!!!😍😍😍 #Maroon5 #lost #JORDI  https://t.co/nHVMr9CQj3,"[('i', 'n'), ('lost', 'v'), ('til', 'r'), ('loved', 'v'), ('im', 'n'), ('found', 'v'), ('obsessed', 'v'), ('song', 'r'), ('maroon5', 'n'), ('lost', 'v'), ('jordi', 'n')]","['maroon5', 'lost', 'jordi']","['maroon5',",11,54,0.6,0.5,Positive,POST
528,938,1404151651842334720,2021-06-13,-700,,¡Mano arriba si ya escuchaste el álbum #JORDI de @maroon5! 👆🏻👆🏻👆🏻             https://t.co/DWFSQIlypQ,es,['jordi'],47664469,UMArgentina,7,12,False,2,0,1,,,mano arriba si ya escuchaste el álbum jordi de,1,2,0,2021-06-13 12:00:16,UMArgentina¡Mano arriba si ya escuchaste el álbum #JORDI de @maroon5! 👆🏻👆🏻👆🏻             https://t.co/DWFSQIlypQ,"[('mano', 'n'), ('arriba', 'n'), ('si', 'v'), ('ya', 'a'), ('escuchaste', 'n'), ('el', 'n'), ('álbum', 'n'), ('jordi', 'n'), ('de', 'n')]",['jordi'],['jordi'],9,46,0.0,0.0,Neutral,POST
529,939,1404151637611102210,2021-06-13,-700,,I NEEDED THIS #JORDI,en,['jordi'],986322176122019845,ray_f13,7,12,False,0,0,0,,,i need jordi,0,0,0,2021-06-13 12:00:12,ray_f13I NEEDED THIS #JORDI,"[('i', 'n'), ('needed', 'v'), ('jordi', 'n')]",['jordi'],['jordi'],9,12,0.0,0.0,Neutral,POST
530,940,1404144094008520704,2021-06-13,-700,,No podemos dejar de escuchar el nuevo álbum de @maroon5. 🐆 ¿Ya saben qué canción es su favorita? 🤔 Escucha #Jordi en @AppleMusicES.  https://t.co/rESiA3O77h  https://t.co/FgguL0kVlE,es,['jordi'],36837289,UMusicMexico,7,11,False,6,0,0,,,no podemos dejar de escuchar el nuevo álbum de ya saben qué canción e su favorita escucha jordi en,0,6,0,2021-06-13 11:30:14,UMusicMexicoNo podemos dejar de escuchar el nuevo álbum de @maroon5. 🐆 ¿Ya saben qué canción es su favorita? 🤔 Escucha #Jordi en @AppleMusicES.  https://t.co/rESiA3O77h  https://t.co/FgguL0kVlE,"[('no', 'n'), ('podemos', 'a'), ('dejar', 'n'), ('de', 'n'), ('escuchar', 'n'), ('el', 'n'), ('nuevo', 'n'), ('álbum', 'n'), ('de', 'n'), ('ya', 'n'), ('saben', 'n'), ('qué', 'n'), ('canción', 'n'), ('es', 'n'), ('su', 'n'), ('favorita', 'a'), ('escucha', 'n'), ('jordi', 'n'), ('en', 'n')]",['jordi'],['jordi'],9,98,0.0,0.0,Neutral,POST
